PaymentNr;SalesOrderNr;CustomerNr;CustomerName;PaymentDate;Value
30579;572;USCU_S06;Hub & Spokes Inc;2018-11-08T00:00:00.000Z;1778.0
30580;573;USCU_S08;Velocity Cycles;2018-11-12T00:00:00.000Z;14224.0
30581;574;USCU_L04;Quotex;2018-12-15T00:00:00.000Z;18669.0
30582;575;USCU_L06;Dexon;2018-12-19T00:00:00.000Z;22218.0
30583;576;USCU_S06;Hub & Spokes Inc;2018-11-11T00:00:00.000Z;277725.0
30584;577;USCU_S12;Century Cycles;2018-11-08T00:00:00.000Z;111090.0
30585;578;USCU_S14;Cityscape Cycles;2018-11-12T00:00:00.000Z;9522.0
30586;579;USCU_L03;Viadox;2018-12-16T00:00:00.000Z;19044.0
30587;580;USCU_L09;Bigmart;2018-12-27T00:00:00.000Z;30153.0
30588;581;USCU_S03;Eastside Bikes;2018-11-05T00:00:00.000Z;112868.0
30589;582;USCU_S08;Velocity Cycles;2018-11-06T00:00:00.000Z;70056.0
30590;583;USCU_S16;Gogo Bikes;2018-11-11T00:00:00.000Z;46704.0
30591;584;USCU_S01;Performance Bikes;2018-11-12T00:00:00.000Z;565.0
30592;585;USCU_L01;Skymart Corp;2018-12-26T00:00:00.000Z;9605.0
30593;586;USCU_L09;Bigmart;2018-12-14T00:00:00.000Z;7345.0
30594;587;USCU_S17;Bikepros;2018-11-08T00:00:00.000Z;1130.0
30595;588;USCU_S10;Turbo Bikes;2018-11-10T00:00:00.000Z;3955.0
30596;589;USCU_L07;Interlude Inc;2018-12-27T00:00:00.000Z;16385.0
30597;590;USCU_S11;Bike World;2018-11-04T00:00:00.000Z;31816.0
30598;591;USCU_S06;Hub & Spokes Inc;2018-11-09T00:00:00.000Z;15908.0
30599;592;USCU_S16;Gogo Bikes;2018-11-10T00:00:00.000Z;55678.0
30600;593;USCU_L10;CostClub;2018-12-20T00:00:00.000Z;31816.0
30601;594;USCU_L06;Dexon;2018-12-28T00:00:00.000Z;19885.0
30602;595;USCU_L01;Skymart Corp;2018-12-20T00:00:00.000Z;7954.0
30603;596;USCU_S14;Cityscape Cycles;2018-11-06T00:00:00.000Z;54187.0
30604;597;USCU_S01;Performance Bikes;2018-11-13T00:00:00.000Z;38705.0
30605;598;USCU_S11;Bike World;2018-11-06T00:00:00.000Z;162561.0
30606;599;USCU_L04;Quotex;2018-12-10T00:00:00.000Z;15890.0
30607;600;USCU_S03;Eastside Bikes;2018-11-05T00:00:00.000Z;3990.0
30608;601;USCU_S07;Westend Cycles;2018-11-11T00:00:00.000Z;9380.0
30609;602;USCU_S15;Northside Bikes;2018-11-06T00:00:00.000Z;1470.0
30610;603;USCU_L10;CostClub;2018-12-27T00:00:00.000Z;9170.0
30611;604;USCU_L02;Toys4U;2018-12-21T00:00:00.000Z;13020.0
30612;605;USCU_L09;Bigmart;2018-12-23T00:00:00.000Z;9120.0
30613;606;USCU_L03;Viadox;2018-12-21T00:00:00.000Z;21960.0
30614;607;USCU_S17;Bikepros;2018-11-11T00:00:00.000Z;2760.0
30615;608;USCU_S05;Greater Hartford Area;2018-11-09T00:00:00.000Z;4320.0
30616;609;USCU_L08;Veracity;2018-12-22T00:00:00.000Z;15840.0
30617;610;USCU_S10;Turbo Bikes;2018-11-04T00:00:00.000Z;7320.0
30618;611;USCU_S09;Greenhigh Bikes;2018-11-09T00:00:00.000Z;800.0
30619;612;USCU_S06;Hub & Spokes Inc;2018-11-06T00:00:00.000Z;4160.0
30620;613;USCU_S15;Northside Bikes;2018-11-04T00:00:00.000Z;1440.0
30621;614;USCU_L04;Quotex;2018-12-26T00:00:00.000Z;8480.0
30622;615;USCU_L10;CostClub;2018-12-19T00:00:00.000Z;9600.0
30623;616;USCU_L01;Skymart Corp;2018-12-24T00:00:00.000Z;14720.0
30624;617;0017100005;Domestic US Customer 5 (CMS);2018-11-25T00:00:00.000Z;353.5
30625;1958;0017100003;Domestic Customer US 3;2019-11-08T00:00:00.000Z;351.0
30626;1946;0017100003;Domestic Customer US 3;2019-11-02T00:00:00.000Z;0.0
30627;619;0017100003;Domestic Customer US 3;2018-10-26T00:00:00.000Z;17.55
30628;2042;0017100002;Domestic US Customer 2;2019-11-15T00:00:00.000Z;8000.0
30629;1748;0017100003;Domestic Customer US 3;2019-11-10T00:00:00.000Z;175.5
30630;2580;USCU_L06;Dexon;2020-04-19T00:00:00.000Z;8475.0
30631;2581;USCU_S09;Greenhigh Bikes;2020-03-05T00:00:00.000Z;7345.0
30632;2582;USCU_S04;Fit Cycles;2020-02-27T00:00:00.000Z;55678.0
30633;2583;USCU_S08;Velocity Cycles;2020-03-06T00:00:00.000Z;51701.0
30634;2584;USCU_L05;Bluestar Corp;2020-04-15T00:00:00.000Z;51701.0
30635;2585;USCU_L01;Skymart Corp;2020-04-06T00:00:00.000Z;55678.0
30636;2586;USCU_L10;CostClub;2020-04-13T00:00:00.000Z;51701.0
30637;628;0017100003;Domestic Customer US 3;2018-11-01T00:00:00.000Z;0.0
30638;634;USCU_L03;Viadox;2018-12-25T00:00:00.000Z;7040.0
30639;635;USCU_L09;Bigmart;2018-12-31T00:00:00.000Z;15400.0
30640;636;USCU_S11;Bike World;2018-11-24T00:00:00.000Z;24300.0
30641;637;USCU_L08;Veracity;2018-12-26T00:00:00.000Z;6075.0
30642;638;USCU_L01;Skymart Corp;2018-12-27T00:00:00.000Z;2025.0
30643;639;USCU_S16;Gogo Bikes;2018-11-23T00:00:00.000Z;1350.0
30644;640;USCU_L10;CostClub;2018-12-27T00:00:00.000Z;5400.0
30645;641;USCU_S07;Westend Cycles;2018-11-19T00:00:00.000Z;24048.0
30646;642;USCU_L08;Veracity;2019-01-11T00:00:00.000Z;8016.0
30647;643;USCU_S05;Greater Hartford Area;2018-11-22T00:00:00.000Z;96192.0
30648;644;USCU_S14;Cityscape Cycles;2018-11-18T00:00:00.000Z;32064.0
30649;645;USCU_L02;Toys4U;2018-12-31T00:00:00.000Z;5010.0
30650;646;USCU_L09;Bigmart;2019-01-07T00:00:00.000Z;9018.0
30651;647;USCU_S03;Eastside Bikes;2018-11-21T00:00:00.000Z;889.0
30652;648;USCU_L01;Skymart Corp;2019-01-06T00:00:00.000Z;13335.0
30653;649;USCU_L09;Bigmart;2019-01-05T00:00:00.000Z;24892.0
30654;650;USCU_L04;Quotex;2019-01-10T00:00:00.000Z;16891.0
30655;651;USCU_S07;Westend Cycles;2018-11-22T00:00:00.000Z;11557.0
30656;652;USCU_S14;Cityscape Cycles;2018-11-20T00:00:00.000Z;1778.0
30657;653;USCU_L02;Toys4U;2019-01-11T00:00:00.000Z;28566.0
30658;654;USCU_S15;Northside Bikes;2018-11-20T00:00:00.000Z;182505.0
30659;655;USCU_L04;Quotex;2019-01-09T00:00:00.000Z;20631.0
30660;656;USCU_S06;Hub & Spokes Inc;2018-11-23T00:00:00.000Z;257094.0
30661;657;USCU_S08;Velocity Cycles;2018-11-24T00:00:00.000Z;76176.0
30662;658;USCU_L09;Bigmart;2019-01-05T00:00:00.000Z;23805.0
30663;660;USCU_S10;Turbo Bikes;2018-11-21T00:00:00.000Z;38920.0
30664;2620;0017100001;Domestic US Customer 1;2020-03-09T00:00:00.000Z;250.0
30665;661;USCU_S14;Cityscape Cycles;2018-11-18T00:00:00.000Z;23352.0
30666;662;USCU_L01;Skymart Corp;2019-01-04T00:00:00.000Z;3892.0
30667;663;USCU_S14;Cityscape Cycles;2018-11-24T00:00:00.000Z;565.0
30668;664;USCU_L02;Toys4U;2019-01-10T00:00:00.000Z;5085.0
30669;665;USCU_L09;Bigmart;2019-01-02T00:00:00.000Z;1695.0
30670;666;USCU_S01;Performance Bikes;2018-11-26T00:00:00.000Z;1130.0
30671;667;USCU_S08;Velocity Cycles;2018-11-23T00:00:00.000Z;7345.0
30672;668;USCU_L07;Interlude Inc;2018-12-27T00:00:00.000Z;13560.0
30673;669;USCU_S09;Greenhigh Bikes;2018-11-26T00:00:00.000Z;135218.0
30674;670;USCU_L05;Bluestar Corp;2018-12-25T00:00:00.000Z;51701.0
30675;671;USCU_L01;Skymart Corp;2019-01-10T00:00:00.000Z;11931.0
30676;672;USCU_S15;Northside Bikes;2018-11-23T00:00:00.000Z;39770.0
30677;673;USCU_L09;Bigmart;2018-12-31T00:00:00.000Z;7954.0
30678;674;USCU_S05;Greater Hartford Area;2018-11-26T00:00:00.000Z;3977.0
30679;675;USCU_S10;Turbo Bikes;2018-11-25T00:00:00.000Z;69669.0
30680;676;USCU_S03;Eastside Bikes;2018-11-23T00:00:00.000Z;30964.0
30681;677;USCU_S16;Gogo Bikes;2018-11-24T00:00:00.000Z;123856.0
30682;678;USCU_L09;Bigmart;2018-12-29T00:00:00.000Z;4200.0
30683;679;USCU_S15;Northside Bikes;2018-11-20T00:00:00.000Z;1120.0
30684;680;USCU_L02;Toys4U;2019-01-02T00:00:00.000Z;13300.0
30685;681;USCU_L04;Quotex;2019-01-11T00:00:00.000Z;18760.0
30686;682;USCU_S11;Bike World;2018-11-23T00:00:00.000Z;12950.0
30687;683;USCU_S02;Custom Sports;2018-11-23T00:00:00.000Z;3640.0
30688;684;USCU_S02;Custom Sports;2018-11-22T00:00:00.000Z;9840.0
30689;685;USCU_S10;Turbo Bikes;2018-11-24T00:00:00.000Z;2760.0
30690;686;USCU_L06;Dexon;2019-01-08T00:00:00.000Z;2880.0
30691;687;USCU_S17;Bikepros;2018-11-22T00:00:00.000Z;600.0
30692;688;USCU_L09;Bigmart;2018-12-26T00:00:00.000Z;3720.0
30693;689;USCU_L02;Toys4U;2019-01-09T00:00:00.000Z;10440.0
30694;690;USCU_L08;Veracity;2019-01-05T00:00:00.000Z;20000.0
30695;691;USCU_S07;Westend Cycles;2018-11-18T00:00:00.000Z;320.0
30696;693;USCU_S15;Northside Bikes;2018-11-24T00:00:00.000Z;2080.0
30697;694;USCU_L02;Toys4U;2019-01-04T00:00:00.000Z;7200.0
30698;695;USCU_L09;Bigmart;2018-12-27T00:00:00.000Z;9600.0
30699;630;USCU_S07;Westend Cycles;2018-11-23T00:00:00.000Z;13200.0
30700;631;USCU_S01;Performance Bikes;2018-11-24T00:00:00.000Z;6160.0
30701;632;USCU_L05;Bluestar Corp;2019-01-02T00:00:00.000Z;18480.0
30702;633;USCU_S16;Gogo Bikes;2018-11-18T00:00:00.000Z;5280.0
30703;162;0017100001;Domestic US Customer 1;2017-11-23T00:00:00.000Z;8000.0
30704;4626;0017100001;Domestic US Customer 1;2021-12-05T00:00:00.000Z;8016.8
30705;698;0017100273;Domestic US CPD;2018-11-05T00:00:00.000Z;87.75
30706;1004;USCU_S04;Fit Cycles;2019-04-01T00:00:00.000Z;0.0
30707;700;0017100005;Domestic US Customer 5 (CMS);2018-11-04T00:00:00.000Z;175.5
30708;1007;USCU_S04;Fit Cycles;2019-03-27T00:00:00.000Z;0.0
30709;1739;USCU_S04;Fit Cycles;2019-11-06T00:00:00.000Z;0.0
30710;2617;0017100001;Domestic US Customer 1;2020-02-29T00:00:00.000Z;1755.0
30711;1066;USCU_S04;Fit Cycles;2019-04-02T00:00:00.000Z;0.0
30712;724;0017100002;Domestic US Customer 2;2018-11-15T00:00:00.000Z;35.35
30713;620;0017100003;Domestic Customer US 3;2018-10-26T00:00:00.000Z;18650.0
30714;4162;0017186001;US TM Customer1;2021-04-08T00:00:00.000Z;877.5
30715;629;0017100003;Domestic Customer US 3;2018-11-05T00:00:00.000Z;400.0
30716;953;USCU_S04;Fit Cycles;2019-03-13T00:00:00.000Z;16875.0
30717;4275;0017100001;Domestic US Customer 1;2021-04-02T00:00:00.000Z;0.0
30718;711;EWM17-CU01;EWM Domestic Customer 01;2018-11-08T00:00:00.000Z;210.0
30719;712;EWM17-CU01;EWM Domestic Customer 01;2018-11-08T00:00:00.000Z;120.0
30720;713;EWM17-CU01;EWM Domestic Customer 01;2018-11-08T00:00:00.000Z;13005.0
30721;714;EWM17-CU01;EWM Domestic Customer 01;2018-11-09T00:00:00.000Z;210.0
30722;715;EWM17-CU01;EWM Domestic Customer 01;2018-11-09T00:00:00.000Z;120.0
30723;716;EWM17-CU01;EWM Domestic Customer 01;2018-11-09T00:00:00.000Z;13005.0
30724;129;0017100001;Domestic US Customer 1;2017-11-03T00:00:00.000Z;87.75
30725;720;0017100008;Domestic US Customer 8;2018-11-10T00:00:00.000Z;17.55
30726;46;0017100003;Domestic Customer US 3;2017-10-19T00:00:00.000Z;35.1
30727;706;0017186011;US TM Customer11;2018-11-09T00:00:00.000Z;2421.9
30728;3206;USCU_S03;Eastside Bikes;2020-07-04T00:00:00.000Z;3520.0
30729;696;0017100001;Domestic US Customer 1;2018-11-03T00:00:00.000Z;169.0
30730;726;0017100003;Domestic Customer US 3;2018-11-16T00:00:00.000Z;380.0
30731;719;0017100014;PAYER - Central;2018-11-09T00:00:00.000Z;175.5
30732;2587;USCU_S16;Gogo Bikes;2020-02-29T00:00:00.000Z;51701.0
30733;1955;0017100001;Domestic US Customer 1;2019-11-08T00:00:00.000Z;175.5
30734;710;0017100004;Domestic Customer US 4;2018-11-08T00:00:00.000Z;0.0
30735;718;0017100013;Domestic Customer Invoice List;2018-11-09T00:00:00.000Z;175.5
30736;722;0017100003;Domestic Customer US 3;2018-11-15T00:00:00.000Z;1000.0
30737;4627;0017100001;Domestic US Customer 1;2021-12-05T00:00:00.000Z;8300.0
30738;721;0017100003;Domestic Customer US 3;2018-11-15T00:00:00.000Z;175.5
30739;732;USCU_L07;Interlude Inc;2019-01-10T00:00:00.000Z;19800.0
30740;733;USCU_S10;Turbo Bikes;2018-12-11T00:00:00.000Z;3080.0
30741;734;USCU_S01;Performance Bikes;2018-12-07T00:00:00.000Z;9680.0
30742;735;USCU_L02;Toys4U;2019-01-23T00:00:00.000Z;1320.0
30743;736;USCU_S16;Gogo Bikes;2018-12-11T00:00:00.000Z;4840.0
30744;737;USCU_L10;CostClub;2019-01-09T00:00:00.000Z;11440.0
30745;738;USCU_S03;Eastside Bikes;2018-12-04T00:00:00.000Z;8775.0
30746;739;USCU_S08;Velocity Cycles;2018-12-05T00:00:00.000Z;2025.0
30747;740;USCU_S16;Gogo Bikes;2018-12-06T00:00:00.000Z;13500.0
30748;741;USCU_L10;CostClub;2019-01-18T00:00:00.000Z;2025.0
30749;742;USCU_L02;Toys4U;2019-01-22T00:00:00.000Z;11475.0
30750;743;USCU_S06;Hub & Spokes Inc;2018-12-02T00:00:00.000Z;57114.0
30751;744;USCU_S08;Velocity Cycles;2018-12-09T00:00:00.000Z;9018.0
30752;745;USCU_L08;Veracity;2019-01-25T00:00:00.000Z;5010.0
30753;746;USCU_S15;Northside Bikes;2018-12-06T00:00:00.000Z;2004.0
30754;747;USCU_L09;Bigmart;2019-01-12T00:00:00.000Z;7014.0
30755;748;USCU_L01;Skymart Corp;2019-01-14T00:00:00.000Z;14028.0
30756;749;USCU_S16;Gogo Bikes;2018-12-04T00:00:00.000Z;889.0
30757;750;USCU_L09;Bigmart;2019-01-08T00:00:00.000Z;15113.0
30758;751;USCU_L03;Viadox;2019-01-08T00:00:00.000Z;10668.0
30759;753;USCU_L04;Quotex;2019-01-10T00:00:00.000Z;12446.0
30760;754;USCU_S11;Bike World;2018-12-06T00:00:00.000Z;8890.0
30761;755;USCU_S12;Century Cycles;2018-12-05T00:00:00.000Z;87285.0
30762;756;USCU_S05;Greater Hartford Area;2018-12-02T00:00:00.000Z;220593.0
30763;757;USCU_L07;Interlude Inc;2019-01-07T00:00:00.000Z;20631.0
30764;758;USCU_L03;Viadox;2019-01-16T00:00:00.000Z;63480.0
30765;759;USCU_S16;Gogo Bikes;2018-12-08T00:00:00.000Z;109503.0
30766;760;USCU_L09;Bigmart;2019-01-13T00:00:00.000Z;1587.0
30767;761;USCU_S09;Greenhigh Bikes;2018-12-02T00:00:00.000Z;19460.0
30768;762;USCU_S03;Eastside Bikes;2018-12-05T00:00:00.000Z;7784.0
30769;763;USCU_S15;Northside Bikes;2018-12-03T00:00:00.000Z;11676.0
30770;764;USCU_L02;Toys4U;2019-01-08T00:00:00.000Z;3892.0
30771;765;USCU_S02;Custom Sports;2018-12-08T00:00:00.000Z;2825.0
30772;766;USCU_S11;Bike World;2018-12-06T00:00:00.000Z;4520.0
30773;767;USCU_L06;Dexon;2019-01-21T00:00:00.000Z;17515.0
30774;768;USCU_S16;Gogo Bikes;2018-12-10T00:00:00.000Z;1130.0
30775;769;USCU_L03;Viadox;2019-01-24T00:00:00.000Z;2260.0
30776;770;USCU_L09;Bigmart;2019-01-13T00:00:00.000Z;2825.0
30777;771;USCU_S01;Performance Bikes;2018-12-07T00:00:00.000Z;51701.0
30778;772;USCU_L04;Quotex;2019-01-07T00:00:00.000Z;51701.0
30779;773;USCU_S12;Century Cycles;2018-12-06T00:00:00.000Z;103402.0
30780;774;USCU_S14;Cityscape Cycles;2018-12-08T00:00:00.000Z;27839.0
30781;775;USCU_L02;Toys4U;2019-01-09T00:00:00.000Z;7954.0
30782;776;USCU_L10;CostClub;2019-01-24T00:00:00.000Z;15908.0
30783;777;USCU_S02;Custom Sports;2018-12-11T00:00:00.000Z;201266.0
30784;778;USCU_S09;Greenhigh Bikes;2018-12-03T00:00:00.000Z;46446.0
30785;779;USCU_S17;Bikepros;2018-12-09T00:00:00.000Z;54187.0
30786;780;USCU_L04;Quotex;2019-01-08T00:00:00.000Z;7741.0
30787;781;USCU_L09;Bigmart;2019-01-06T00:00:00.000Z;5740.0
30788;782;USCU_L03;Viadox;2019-01-20T00:00:00.000Z;1890.0
30789;783;USCU_S01;Performance Bikes;2018-12-03T00:00:00.000Z;980.0
30790;784;USCU_S13;Rolling Bike Shop;2018-12-04T00:00:00.000Z;4620.0
30791;785;USCU_S15;Northside Bikes;2018-12-07T00:00:00.000Z;1750.0
30792;786;USCU_L04;Quotex;2019-01-22T00:00:00.000Z;9380.0
30793;787;USCU_S01;Performance Bikes;2018-12-11T00:00:00.000Z;10800.0
30794;788;USCU_S11;Bike World;2018-12-06T00:00:00.000Z;6360.0
30795;789;USCU_L06;Dexon;2019-01-23T00:00:00.000Z;1080.0
30796;790;USCU_S15;Northside Bikes;2018-12-02T00:00:00.000Z;1920.0
30797;791;USCU_L02;Toys4U;2019-01-22T00:00:00.000Z;7320.0
30798;792;USCU_L09;Bigmart;2019-01-20T00:00:00.000Z;1080.0
30799;793;USCU_S10;Turbo Bikes;2018-12-03T00:00:00.000Z;1440.0
30800;794;USCU_S03;Eastside Bikes;2018-12-04T00:00:00.000Z;4640.0
30801;795;USCU_S14;Cityscape Cycles;2018-12-08T00:00:00.000Z;1280.0
30802;796;USCU_L07;Interlude Inc;2019-01-20T00:00:00.000Z;9920.0
30803;1749;0017100001;Domestic US Customer 1;2019-10-21T00:00:00.000Z;9700.0
30804;798;USCU_L09;Bigmart;2019-01-23T00:00:00.000Z;4800.0
30805;1255;USCU_S04;Fit Cycles;2019-06-11T00:00:00.000Z;0.0
30806;1829;USCU_L10;CostClub;2019-12-22T00:00:00.000Z;63632.0
30807;2588;USCU_L02;Toys4U;2020-04-07T00:00:00.000Z;116115.0
30808;1830;USCU_L02;Toys4U;2020-01-04T00:00:00.000Z;19885.0
30809;1831;USCU_S17;Bikepros;2019-11-21T00:00:00.000Z;103402.0
30810;1832;USCU_L08;Veracity;2019-12-22T00:00:00.000Z;43747.0
30811;1833;USCU_S10;Turbo Bikes;2019-11-25T00:00:00.000Z;107379.0
30812;1834;USCU_S14;Cityscape Cycles;2019-11-16T00:00:00.000Z;232230.0
30813;2589;USCU_L08;Veracity;2020-04-12T00:00:00.000Z;85151.0
30814;1956;0017100003;Domestic Customer US 3;2019-11-02T00:00:00.000Z;0.0
30815;1876;0017100002;Domestic US Customer 2;2019-10-24T00:00:00.000Z;175.5
30816;1952;EWM17-CU01;EWM Domestic Customer 01;2019-11-07T00:00:00.000Z;210.0
30817;1754;0017100001;Domestic US Customer 1;2019-10-25T00:00:00.000Z;353.5
30818;812;0017100001;Domestic US Customer 1;2018-11-23T00:00:00.000Z;8350.0
30819;618;0017100001;Domestic US Customer 1;2018-10-25T00:00:00.000Z;70.2
30820;814;0017100001;Domestic US Customer 1;2018-11-26T00:00:00.000Z;8300.0
30821;815;USCU_S12;Century Cycles;2019-02-17T00:00:00.000Z;16720.0
30822;816;USCU_S01;Performance Bikes;2019-02-11T00:00:00.000Z;22440.0
30823;817;USCU_L07;Interlude Inc;2019-04-06T00:00:00.000Z;45320.0
30824;818;USCU_L02;Toys4U;2019-03-24T00:00:00.000Z;58520.0
30825;819;USCU_S16;Gogo Bikes;2019-02-15T00:00:00.000Z;2640.0
30826;820;USCU_L09;Bigmart;2019-03-26T00:00:00.000Z;92840.0
30827;821;USCU_S10;Turbo Bikes;2019-02-17T00:00:00.000Z;10125.0
30828;822;USCU_S16;Gogo Bikes;2019-02-14T00:00:00.000Z;675.0
30829;823;USCU_S05;Greater Hartford Area;2019-02-18T00:00:00.000Z;1350.0
30830;824;USCU_L01;Skymart Corp;2019-03-19T00:00:00.000Z;39150.0
30831;825;USCU_L09;Bigmart;2019-03-24T00:00:00.000Z;7425.0
30832;826;USCU_S13;Rolling Bike Shop;2019-02-16T00:00:00.000Z;124248.0
30833;2618;0017186001;US TM Customer1;2020-03-09T00:00:00.000Z;877.5
30834;828;USCU_L05;Bluestar Corp;2019-03-26T00:00:00.000Z;13026.0
30835;829;USCU_S14;Cityscape Cycles;2019-02-11T00:00:00.000Z;57114.0
30836;830;USCU_L03;Viadox;2019-03-23T00:00:00.000Z;57114.0
30837;831;USCU_L10;CostClub;2019-03-25T00:00:00.000Z;43086.0
30838;832;USCU_S16;Gogo Bikes;2019-02-14T00:00:00.000Z;889.0
30839;833;USCU_L10;CostClub;2019-03-20T00:00:00.000Z;63119.0
30840;834;USCU_L03;Viadox;2019-03-28T00:00:00.000Z;1778.0
30841;835;USCU_L05;Bluestar Corp;2019-03-23T00:00:00.000Z;8001.0
30842;836;USCU_S08;Velocity Cycles;2019-02-18T00:00:00.000Z;2667.0
